target,family,eps0,lam,c_o,F,p_bar_low,p_bar_high,finding,within_stated_assumptions,diagnosis_hint
P2/H2 single-threshold participation,linear,,0.7,2.0,0.5,2.0532820951597768,33.28005123817382,"COUNTEREXAMPLE: linear demand is log-concave (H2 sufficient condition holds) and A1-A4 hold, but Pi_O < 0 for p > p_bar_high (demand vanishes near the choke price); the biconditional in P2 fails on [c_g, inf)",True,"proposition-domain issue: restrict P2 to p in [c_g, p_O_max] (or below the choke price), or restate participation as an interval"
P2/H2 single-threshold participation,ces,1.2000000000000002,0.3,3.0,0.3586052218293749,4.3729953983242495,1418.1766554873932,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,1.2000000000000002,0.5,1.5,0.6168452874785888,2.1864976991621243,709.0883277436966,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,1.2000000000000002,0.5,2.0,0.5823559323096492,2.9153302655494993,945.4511036582621,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,1.2000000000000002,0.5,3.0,0.536995012481045,4.372995398324249,1418.176655487393,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,1.2000000000000002,0.7,1.5,1.1386617990043344,2.1864976991621243,709.0883277436966,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,1.2000000000000002,0.7,2.0,1.074996384028578,2.9153302655494993,945.451103658262,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,1.2000000000000002,0.7,3.0,0.9912626705270011,4.372995398324249,1418.1766554873948,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,1.3,0.3,1.5,0.3487588147219587,2.061983142771524,151.98454317907593,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,1.3,0.3,2.0,0.3199216065560484,2.7493108570279547,202.64605757210106,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,1.3,0.3,3.0,0.28328018300827135,4.123966285543048,303.9690863581517,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,1.3,0.5,1.5,0.5401217167845783,2.061983142771524,151.98454317907587,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,1.3,0.5,2.0,0.49546162010927836,2.749310857027955,202.646057572101,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,1.3,0.5,3.0,0.4387151587823177,4.123966285543047,303.9690863581518,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,1.3,0.7,1.5,1.0492887435310154,2.061983142771524,151.98454317907573,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,1.3,0.7,2.0,0.9625280463211873,2.7493108570279547,202.64605757210106,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,1.3,0.7,3.0,0.8522872964026906,4.123966285543048,303.96908635815157,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,1.4000000000000001,0.3,1.5,0.3031384260012551,1.9781117201355312,64.96691463466911,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,1.4000000000000001,0.3,2.0,0.2701876516468914,2.6374822935140405,86.62255284622547,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,1.4000000000000001,0.3,3.0,0.22973596711799438,3.956223440271061,129.93382926933825,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,1.4000000000000001,0.5,1.5,0.4855346640984071,1.9781117201355312,64.96691463466914,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,1.4000000000000001,0.5,2.0,0.43275764282475915,2.6374822935140405,86.62255284622547,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,1.4000000000000001,0.5,3.0,0.3679664669945085,3.9562234402710614,129.93382926933825,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,1.4000000000000001,0.7,1.5,0.9926782140678344,1.9781117201355312,64.96691463466915,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,1.4000000000000001,0.7,2.0,0.8847753121833121,2.6374822935140405,86.62255284622549,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,1.4000000000000001,0.7,3.0,0.7523094071382859,3.956223440271061,129.9338292693382,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,1.5,0.3,1.5,0.2683029380090529,1.9170992149220782,37.30886716221715,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,1.5,0.3,2.0,0.2323571602258413,2.556132286562771,49.74515621628951,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,1.5,0.3,3.0,0.1897188268784752,3.8341984298441565,74.6177343244343,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,1.5,0.5,1.5,0.4444444444444444,1.9170992149220782,37.308867162217155,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,1.5,0.5,2.0,0.3849001794597505,2.556132286562771,49.74515621628953,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,1.5,0.5,3.0,0.31426968052735443,3.8341984298441565,74.61773432443432,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,1.5,0.7,1.5,0.9562921842487447,1.9170992149220782,37.30886716221715,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,1.5,0.7,2.0,0.8281733249999219,2.556132286562771,49.745156216289544,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,1.5,0.7,3.0,0.6762006882779829,3.834198429844157,74.6177343244343,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,1.6,0.3,1.5,0.24068951004539257,1.8704477437570344,25.080616097853575,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,1.6,0.3,2.0,0.20253212568776466,2.4939303250093787,33.440821463808476,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,1.6,0.3,3.0,0.15879585627247372,3.740895487514068,50.16123219571272,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,1.6,0.5,1.5,0.41234622211652944,1.8704477437570344,25.080616097853575,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,1.6,0.5,2.0,0.34697547420670627,2.4939303250093787,33.44082146380847,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,1.6,0.5,3.0,0.27204705103003873,3.740895487514068,50.161232195712714,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,1.6,0.7,1.5,0.9337272195595224,1.8704477437570344,25.080616097853575,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,1.6,0.7,2.0,0.7857000438209847,2.493930325009379,33.440821463808476,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,1.6,0.7,3.0,0.6160302263563845,3.740895487514068,50.16123219571272,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,1.7000000000000002,0.3,1.5,0.2181950614219447,1.833492552819343,18.551964316102907,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,1.7000000000000002,0.3,2.0,0.17839710441619683,2.444656737092457,24.73595242147056,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,1.7000000000000002,0.3,3.0,0.13431481544453902,3.6669851056386857,37.10392863219638,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,1.7000000000000002,0.5,1.5,0.3866006476952408,1.833492552819343,18.55196431610291,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,1.7000000000000002,0.5,2.0,0.3160861463353028,2.444656737092457,24.735952421470547,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,1.7000000000000002,0.5,3.0,0.2379806138027609,3.6669851056386857,37.10392863219639,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,1.7000000000000002,0.7,1.5,0.921309292668263,1.8334925528193429,18.551964316102918,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,1.7000000000000002,0.7,2.0,0.7532659493420705,2.444656737092457,24.735952421470564,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,1.7000000000000002,0.7,3.0,0.5671323943156442,3.6669851056386857,37.1039286321964,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,1.8,0.3,1.5,0.19948121533007157,1.8034286792994196,14.617549622223802,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,1.8,0.3,2.0,0.15847144433925267,2.404571572399226,19.490066162967405,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,1.8,0.3,3.0,0.11457187195123127,3.6068573585988393,29.235099244448968,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,1.8,0.5,1.5,0.3655379481354601,1.8034286792994196,14.617549622223807,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,1.8,0.5,2.0,0.29038988210485767,2.404571572399226,19.4900661629674,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,1.8,0.5,3.0,0.20994641985609724,3.6068573585988393,29.23509924444897,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,1.8,0.7,1.5,0.9167696323158693,1.8034286792994196,14.617549622223803,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,1.8,0.7,2.0,0.7282981884738919,2.4045715723992265,19.49006616296739,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,1.8,0.7,3.0,0.5265458842762378,3.6068573585988393,29.235099244448982,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,1.9,0.3,1.5,0.18364876487033277,1.7784556760598802,12.03912180469681,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,1.9,0.3,2.0,0.14175655452615415,2.3712742347465063,16.052162406262408,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,1.9,0.3,3.0,0.09841493630779506,3.556911352119762,24.078243609388917,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,1.9,0.5,1.5,0.34804169867299245,1.7784556760598802,12.039121804696812,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,1.9,0.5,2.0,0.26864973510792967,2.3712742347465063,16.052162406262415,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,1.9,0.5,3.0,0.18651092824688315,3.556911352119762,24.07824360938892,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,1.9,0.7,1.5,0.9186369373113352,1.7784556760598802,12.03912180469681,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,1.9,0.7,2.0,0.709086212399298,2.3712742347465063,16.052162406262415,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,1.9,0.7,3.0,0.4922853455579528,3.556911352119762,24.078243609388917,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,2.0,0.3,1.5,0.1700680272108844,1.7573593128807148,10.242640687119282,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,2.0,0.3,2.0,0.12755102040816327,2.3431457505076194,13.656854249492381,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,2.0,0.3,3.0,0.0850340136054422,3.514718625761431,20.48528137423857,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,2.0,0.5,1.5,0.3333333333333333,1.7573593128807146,10.242640687119286,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,2.0,0.5,2.0,0.25,2.3431457505076194,13.656854249492381,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,2.0,0.5,3.0,0.16666666666666666,3.514718625761431,20.48528137423857,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,2.0,0.7,1.5,0.9259259259259257,1.7573593128807146,10.242640687119286,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,2.0,0.7,2.0,0.6944444444444442,2.3431457505076194,13.65685424949238,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,2.0,0.7,3.0,0.46296296296296285,3.514718625761431,20.48528137423857,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,2.1,0.3,1.5,0.15828332693975714,1.7392882212656755,8.931366797670217,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,2.1,0.3,2.0,0.11534600564987137,2.3190509616875676,11.908489063560292,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,2.1,0.3,3.0,0.07384178302250007,3.4785764425313563,17.862733595340437,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,2.1,0.5,1.5,0.3208514785878959,1.7392882212656755,8.93136679767022,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,2.1,0.5,2.0,0.23381449693722126,2.3190509616875676,11.90848906356029,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,2.1,0.5,3.0,0.1496825074529362,3.478576442531356,17.86273359534044,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,2.1,0.7,1.5,0.9379645381119269,1.7392882212656755,8.931366797670215,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,2.1,0.7,2.0,0.6835240641208834,2.3190509616875676,11.90848906356029,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,2.1,0.7,3.0,0.4375759294750054,3.478576442531356,17.862733595340437,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,2.2,0.3,1.5,0.14795593910779478,1.723626342817223,7.938727228378235,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
